t	P_2
214.200000	-185.317528
214.300000	-158.661466
214.400000	-132.070623
214.500000	-105.652198
214.600000	-79.367037
214.700000	-53.241319
214.800000	-27.172734
214.900000	-1.327724
215.000000	24.358837
215.100000	49.992924
215.200000	75.478730
215.300000	100.663579
215.400000	125.754365
215.500000	150.769793
215.600000	175.552719
215.700000	200.109520
215.800000	224.554162
215.900000	248.858698
216.000000	272.852753
216.100000	296.753553
216.200000	320.554500
216.300000	344.060797
216.400000	367.347925
216.500000	390.574572
216.600000	413.532422
216.700000	436.207897
216.800000	458.746558
216.900000	481.129263
217.000000	503.243677
217.100000	525.244864
217.200000	547.024501
217.300000	568.559799
217.400000	589.846104
217.500000	555.363840
217.600000	465.194242
217.700000	374.789128
217.800000	284.336388
217.900000	193.756731
218.000000	102.901312
218.100000	11.866252
218.200000	-79.142475
218.300000	-170.399660
218.400000	-261.871897
218.500000	-353.427340
218.600000	-445.246487
218.700000	-537.199416
218.800000	-585.113525
218.900000	-567.381579
219.000000	-549.985048
219.100000	-532.722973
219.200000	-515.689183
219.300000	-498.920499
219.400000	-482.433746
219.500000	-466.199982
219.600000	-450.228972
219.700000	-434.534936
219.800000	-418.987726
219.900000	-403.802906
220.000000	-388.882486
220.100000	-374.192093
220.200000	-359.785212
220.300000	-345.705765
220.400000	-331.863518
220.500000	-318.283233
220.600000	-305.025703
220.700000	-292.020342
220.800000	-279.235688
220.900000	-266.780821
221.000000	-254.616632
221.100000	-242.693194
221.200000	-231.122033
221.300000	-219.846376
221.400000	-208.718479
221.500000	-197.984604
221.600000	-187.608259
221.700000	-177.402092
221.800000	-167.516014
221.900000	-158.019883
222.000000	-148.739154
222.100000	-139.652542
222.200000	-130.993086
222.300000	-122.633775
222.400000	-114.491394
222.500000	-106.688902
222.600000	-99.205254
222.700000	-92.020719
222.800000	-85.109892
222.900000	-78.577493
223.000000	-72.174484
223.100000	-66.245097
223.200000	-60.622966
223.300000	-55.138080
223.400000	-49.897944
223.500000	-45.198388
223.600000	-40.756853
223.700000	-36.578024
223.800000	-32.724999
223.900000	-29.271148
224.000000	-25.967322
224.100000	-23.119423
224.200000	-20.869977
224.300000	-18.035012
224.400000	-16.321781
224.500000	-14.464635
224.600000	-13.254113
224.700000	-12.230945
224.800000	-11.393943
224.900000	-10.934270
225.000000	-10.854052
225.100000	-10.854052
225.200000	-10.854052
225.300000	-10.854052
225.400000	-10.854052
225.500000	-10.854052
225.600000	-10.854052
225.700000	-10.854052
225.800000	-10.854052
225.900000	-10.854052
226.000000	-10.854052
226.100000	-10.854052
226.200000	-10.854052
226.300000	-10.854052
226.400000	-10.854052
226.500000	-10.854052
226.600000	-10.854052
226.700000	-10.854052
226.800000	-10.854052
226.900000	-10.854052
227.000000	-10.854052
227.100000	-10.854052
227.200000	-10.854052
227.300000	-10.854052
227.400000	-10.854052
227.500000	-10.854052
227.600000	-10.854052
227.700000	-10.854052
227.800000	-10.854052
227.900000	-10.854052
228.000000	-10.854052
228.100000	-10.854052
228.200000	-10.854052
228.300000	-10.854052
228.400000	-10.854052
228.500000	-10.854052
228.600000	-10.854052
228.700000	-10.854052
228.800000	-10.854052
228.900000	-10.854052
229.000000	-10.854052
229.100000	-10.854052
229.200000	-10.854052
229.300000	-10.854052
229.400000	-10.854052
229.500000	-10.854052
229.600000	-10.854052
229.700000	-10.854052
229.800000	-10.854052
229.900000	-10.854052
230.000000	-10.854052
230.100000	-10.854052
230.200000	-10.854052
230.300000	-10.854052
230.400000	-10.854052
230.500000	-10.854052
230.600000	-10.854052
230.700000	-10.854052
230.800000	-10.854052
230.900000	-10.854052
231.000000	-10.854052
231.100000	-10.854052
231.200000	-10.854052
231.300000	-10.854052
231.400000	-10.854052
231.500000	-10.854052
231.600000	-10.854052
231.700000	-10.854052
231.800000	-10.854052
231.900000	-10.854052
232.000000	-10.854052
232.100000	-10.854052
232.200000	-10.854052
232.300000	-10.854052
232.400000	-10.854052
232.500000	-10.854052
232.600000	-10.854052
232.700000	-10.854052
232.800000	-10.854052
232.900000	-10.854052
233.000000	-10.854052
233.100000	-10.854052
233.200000	-10.854052
233.300000	-10.854052
233.400000	-10.854052
233.500000	-10.854052
233.600000	-10.854052
233.700000	-10.854052
233.800000	-10.854052
233.900000	-10.854052
234.000000	-10.854052
234.100000	-10.854052
234.200000	-10.854052
234.300000	-10.854052
234.400000	-10.854052
234.500000	-10.854052
234.600000	-10.854052
234.700000	-10.854052
234.800000	-10.854052
234.900000	-10.854052
235.000000	-10.854052
235.100000	-10.854052
235.200000	-10.854052
235.300000	-10.854052
235.400000	-10.854052
235.500000	-10.854052
235.600000	-10.854052
235.700000	-10.854052
235.800000	-10.854052
235.900000	-10.854052
236.000000	-10.854052
236.100000	-10.854052
236.200000	-10.854052
236.300000	-10.854052
236.400000	-10.854052
236.500000	-10.854052
236.600000	-10.854052
236.700000	-10.854052
236.800000	-10.854052
236.900000	-10.854052
237.000000	-10.854052
237.100000	-10.854052
237.200000	-10.854052
237.300000	-10.854052
237.400000	-10.854052
237.500000	-10.854052
237.600000	-10.854052
237.700000	-10.854052
237.800000	-10.854052
237.900000	-10.854052
238.000000	-10.854052
238.100000	-10.854052
238.200000	-10.854052
238.300000	-10.854052
238.400000	-10.854052
238.500000	-10.854052
238.600000	-10.854052
238.700000	-10.854052
238.800000	-10.854052
238.900000	-10.854052
239.000000	-10.854052
239.100000	-10.854052
239.200000	-10.854052
239.300000	-10.854052
239.400000	-10.854052
239.500000	-10.854052
239.600000	-10.854052
239.700000	-10.854052
239.800000	-10.854052
239.900000	-10.854052
240.000000	-10.854052
240.100000	-10.854052
240.200000	-10.854052
240.300000	-10.854052
240.400000	-10.854052
240.500000	-10.854052
240.600000	-10.854052
240.700000	-10.854052
240.800000	-10.854052
240.900000	-10.854052
241.000000	-10.854052
241.100000	-10.854052
241.200000	-10.854052
241.300000	-10.854052
241.400000	-10.854052
241.500000	-10.854052
241.600000	-10.854052
241.700000	-10.854052
241.800000	-10.854052
241.900000	-10.854052
242.000000	-10.854052
242.100000	-10.854052
242.200000	-10.854052
242.300000	-10.854052
242.400000	-10.854052
242.500000	-10.854052
242.600000	-10.854052
242.700000	-10.854052
242.800000	-10.854052
242.900000	-10.854052
243.000000	-10.854052
243.100000	-10.854052
243.200000	-10.854052
243.300000	-10.854052
243.400000	-10.854052
243.500000	-10.854052
243.600000	-10.854052
243.700000	-10.854052
243.800000	-10.854052
243.900000	-10.854052
244.000000	-10.854052
244.100000	-10.854052
244.200000	-10.854052
244.300000	-10.854052
244.400000	-10.854052
244.500000	-10.854052
244.600000	-10.854052
244.700000	-10.854052
244.800000	-10.854052
244.900000	-10.854052
245.000000	-10.854052
245.100000	-10.854052
245.200000	-10.854052
245.300000	-10.854052
245.400000	-10.854052
245.500000	-10.854052
245.600000	-10.854052
245.700000	-10.854052
245.800000	-10.854052
245.900000	-10.854052
246.000000	-10.854052
246.100000	-10.854052
246.200000	-10.854052
246.300000	-10.854052
246.400000	-10.854052
246.500000	-10.854052
246.600000	-10.854052
246.700000	-10.854052
246.800000	-10.854052
246.900000	-10.854052
247.000000	-10.854052
247.100000	-10.854052
247.200000	-10.854052
247.300000	-10.854052
247.400000	-10.854052
247.500000	-10.854052
247.600000	-10.854052
247.700000	-10.854052
247.800000	-10.854052
247.900000	-10.854052
248.000000	-10.854052
248.100000	-10.854052
248.200000	-10.854052
248.300000	-10.854052
248.400000	-10.854052
248.500000	-10.854052
248.600000	-10.854052
248.700000	-10.854052
248.800000	-10.854052
248.900000	-10.854052
249.000000	-10.854052
249.100000	-10.854052
249.200000	-10.854052
249.300000	-10.854052
249.400000	-10.854052
249.500000	-10.854052
249.600000	-10.854052
249.700000	-10.854052
249.800000	-10.854052
249.900000	-10.854052
250.000000	-10.854052
250.100000	-10.854052
250.200000	-10.854052
250.300000	-10.854052
250.400000	-10.854052
250.500000	-10.854052
250.600000	-10.854052
250.700000	-10.854052
250.800000	-10.854052
250.900000	-10.854052
251.000000	-10.854052
251.100000	-10.854052
251.200000	-10.854052
251.300000	-10.854052
251.400000	-10.854052
251.500000	-10.854052
251.600000	-10.854052
251.700000	-10.854052
251.800000	-10.854052
251.900000	-10.854052
252.000000	-10.854052
252.100000	-10.854052
252.200000	-10.854052
252.300000	2.702609
252.400000	21.728507
252.500000	42.011777
252.600000	62.860465
252.700000	84.043669
252.800000	105.549264
252.900000	127.302504
253.000000	149.268586
253.100000	171.499831
253.200000	193.954147
253.300000	216.603833
253.400000	239.494359
253.500000	262.616747
253.600000	285.975334
253.700000	309.529135
253.800000	333.280051
253.900000	357.241541
254.000000	381.374633
254.100000	405.685585
254.200000	430.207358
254.300000	454.904335
254.400000	479.771845
254.500000	504.838780
254.600000	530.094843
254.700000	555.542280
254.800000	581.141825
254.900000	584.594073
255.000000	499.316349
255.100000	414.484905
255.200000	329.887775
255.300000	245.499598
255.400000	161.321631
255.500000	77.310594
255.600000	-6.483176
255.700000	-89.992220
255.800000	-173.325834
255.900000	-256.475405
256.000000	-339.491851
256.100000	-422.347263
256.200000	-505.011062
256.300000	-587.365936
